gene_id,gene_name,log(velocity_gamma)
ENSMUSG00000050994,Adgb,-2.3201182
ENSMUSG00000039232,Stx11,-0.5097267
ENSMUSG00000039116,Adgrg6,-0.95375705
ENSMUSG00000019850,Tnfaip3,-1.5123096
ENSMUSG00000019982,Myb,-2.9862387000000004
ENSMUSG00000039089,L3mbtl3,-0.37330538
ENSMUSG00000019899,Lama2,0.85607874
ENSMUSG00000087177,E130307A14Rik,-1.4127709
ENSMUSG00000075225,Ccdc162,-0.5245310999999999
ENSMUSG00000071324,Armc2,-1.3483686000000001
ENSMUSG00000038248,Sobp,-2.7409945
ENSMUSG00000019797,1700021F05Rik,-2.4452395
ENSMUSG00000019909,Fam162b,-4.451238
ENSMUSG00000038594,Cep85l,-1.6952331999999999
ENSMUSG00000020099,Unc5b,-2.587296
ENSMUSG00000058806,Col13a1,-1.8235023999999997
ENSMUSG00000050157,Gm867,-0.8344474000000001
ENSMUSG00000001151,Pcnt,-1.5624927
ENSMUSG00000020241,Col6a2,-4.8817053
ENSMUSG00000000374,Trappc10,-2.6058083
ENSMUSG00000020167,Tcf3,-5.5765758000000005
ENSMUSG00000020263,Appl2,-3.5895061000000004
ENSMUSG00000020038,Cry1,-1.5537546
ENSMUSG00000035459,Stab2,-1.0987014
ENSMUSG00000019961,Tmpo,-2.37522
ENSMUSG00000008398,Elk3,-1.4908351
ENSMUSG00000020029,Nudt4,-3.3861523
ENSMUSG00000112831,Gm35533,1.3328546000000001
ENSMUSG00000019890,Nts,-1.4974682
ENSMUSG00000019892,Lrriq1,-1.4425961999999999
ENSMUSG00000056888,Glipr1,-1.5619786
ENSMUSG00000054934,Kcnmb4,-2.6449835
ENSMUSG00000069516,Lyz2,-7.988161999999999
ENSMUSG00000069515,Lyz1,-8.699902999999999
ENSMUSG00000020114,Cand1,-2.9457119
ENSMUSG00000052302,Tbc1d30,-0.11035369
ENSMUSG00000034602,Mon2,-2.064282
ENSMUSG00000040249,Lrp1,-2.695558
ENSMUSG00000018166,Erbb3,-7.2898035000000005
ENSMUSG00000038587,Akap12,-0.41315857
ENSMUSG00000046916,Myct1,-3.1077787999999997
ENSMUSG00000015757,Ppil4,-1.4731836
ENSMUSG00000015501,Hivep2,1.9207081000000001
ENSMUSG00000110917,Gm33056,-1.6014811000000002
ENSMUSG00000019986,Ahi1,-1.7709158999999999
ENSMUSG00000019970,Sgk1,-3.5926267999999997
ENSMUSG00000019997,Ccn2,-6.426547
ENSMUSG00000049109,Themis,0.8887091999999999
ENSMUSG00000019846,Lama4,-1.2865018
ENSMUSG00000019841,Rev3l,0.65242314
ENSMUSG00000063428,Ddo,-1.3323412000000001
ENSMUSG00000091415,Ak9,0.27103320000000003
ENSMUSG00000078451,Ppil6,-0.7242028
ENSMUSG00000044770,Scml4,-0.26710409999999996
ENSMUSG00000047139,Cd24a,-6.1081567
ENSMUSG00000038822,Hace1,-3.0369587000000005
ENSMUSG00000112023,Lilr4b,-1.7929926
ENSMUSG00000112148,Lilrb4a,-2.470582
ENSMUSG00000112843,Gm46224,-1.8736206000000002
ENSMUSG00000019876,Pkib,-1.0258819
ENSMUSG00000003226,Ranbp2,-1.2864575
ENSMUSG00000020111,Micu1,0.46085364
ENSMUSG00000058297,Spock2,-1.1304537000000001
ENSMUSG00000020101,Vsir,-3.5939550000000002
ENSMUSG00000037202,Prf1,-3.4101303
ENSMUSG00000069601,Ank3,1.2592253999999998
ENSMUSG00000009681,Bcr,-0.87164503
ENSMUSG00000049422,Chchd10,-6.696059700000001
ENSMUSG00000000903,Vpreb3,-5.381375
ENSMUSG00000009114,2610028H24Rik,-6.1381793
ENSMUSG00000035697,Arhgap45,-0.035507199999999996
ENSMUSG00000020153,Ndufs7,-3.2215369
ENSMUSG00000015312,Gadd45b,-2.986158
ENSMUSG00000034771,Tle2,-0.48634896
ENSMUSG00000034612,Chst11,-0.7069508000000001
ENSMUSG00000020044,Timp3,-2.251451
ENSMUSG00000020053,Igf1,-2.4578322999999997
ENSMUSG00000035311,Gnptab,-0.3329988
ENSMUSG00000019951,Uhrf1bp1l,-0.4980412
ENSMUSG00000020024,Cep83,-1.1454287
ENSMUSG00000019929,Dcn,-5.1104913
ENSMUSG00000019966,Kitl,-0.15213142
ENSMUSG00000020186,Csrp2,-3.7887837999999996
ENSMUSG00000034127,Tspan8,-3.545927
ENSMUSG00000020154,Ptprb,-1.0829016000000002
ENSMUSG00000020183,Cpm,-3.8505986000000005
ENSMUSG00000034707,Gns,-1.8155644
ENSMUSG00000047642,D930020B18Rik,-3.4837236000000003
ENSMUSG00000040033,Stat2,0.026620407000000002
ENSMUSG00000020432,Tcn2,-2.8175943
ENSMUSG00000034164,Emid1,-3.0236504
ENSMUSG00000041961,Znrf3,1.1689553
ENSMUSG00000020477,Mrps24,-3.4625885000000003
ENSMUSG00000020469,Myl7,-8.416637
ENSMUSG00000020437,Myo1g,-2.3440373
ENSMUSG00000085156,Snhg15,-2.803191
ENSMUSG00000020422,Tns3,-3.4638872000000003
ENSMUSG00000020120,Plek,-0.06942659
ENSMUSG00000020160,Meis1,-0.7888748000000001
ENSMUSG00000020275,Rel,-0.31474504
ENSMUSG00000020462,Cfap36,-2.5419235000000002
ENSMUSG00000020315,Sptbn1,-1.3678934999999999
ENSMUSG00000085772,D630024D03Rik,-2.4363284
ENSMUSG00000020340,Cyfip2,-1.1102014
ENSMUSG00000000782,Tcf7,-3.0988917000000002
ENSMUSG00000020361,Hspa4,0.41786358
ENSMUSG00000020380,Rad50,-2.0769444
ENSMUSG00000018900,Slc22a5,-0.5245363000000001
ENSMUSG00000018593,Sparc,-4.881183
ENSMUSG00000049154,Fam183b,-7.1417227
ENSMUSG00000020444,Guk1,-2.73494
ENSMUSG00000004798,Ulk2,-0.75252104
ENSMUSG00000033389,Arhgap44,-2.5699568
ENSMUSG00000020905,Usp43,-1.214756
ENSMUSG00000020902,Ntn1,-0.89327306
ENSMUSG00000018736,Ndel1,0.08379169
ENSMUSG00000052921,Arhgef15,-2.562584
ENSMUSG00000018476,Kdm6b,-3.1901805
ENSMUSG00000005237,Dnah2,-0.9935289
ENSMUSG00000018761,Mpdu1,-1.8558265
ENSMUSG00000005198,Polr2a,-0.07681417
ENSMUSG00000001588,Acap1,-3.1425772000000003
ENSMUSG00000000317,Bcl6b,-3.1404576
ENSMUSG00000020799,Tekt1,-3.6815333
ENSMUSG00000017677,Wsb1,-1.3315675
ENSMUSG00000091523,AU040972,-7.448983999999999
ENSMUSG00000086507,Adap2os,-5.306845
ENSMUSG00000020702,Ccl1,-2.1478298
ENSMUSG00000020696,Rffl,-0.12503418
ENSMUSG00000035042,Ccl5,-4.593861599999999
ENSMUSG00000019122,Ccl9,-3.4191337
ENSMUSG00000018927,Ccl6,-3.989121
ENSMUSG00000000982,Ccl3,-4.3521876
ENSMUSG00000020530,Ggnbp2,-0.0027386462
ENSMUSG00000054079,Utp18,-1.7965919999999997
ENSMUSG00000039110,Mycbpap,-5.6387596
ENSMUSG00000001507,Itga3,-2.613925
ENSMUSG00000038615,Nfe2l1,-3.2083316
ENSMUSG00000038453,Srcin1,-5.85009
ENSMUSG00000018541,Cwc25,-2.2075994
ENSMUSG00000017417,Plxdc1,-1.7744699000000002
ENSMUSG00000038352,Arl5c,-2.7407281
ENSMUSG00000018168,Ikzf3,0.69605786
ENSMUSG00000020914,Top2a,-1.1723725
ENSMUSG00000037944,Ccr7,-4.5696900000000005
ENSMUSG00000020911,Krt19,-3.3192858999999997
ENSMUSG00000001552,Jup,-3.4134636
ENSMUSG00000004044,Cavin1,-4.5919394
ENSMUSG00000035086,Becn1,-1.8827791
ENSMUSG00000003518,Dusp3,-3.6470795
ENSMUSG00000008855,Hdac5,-4.153297
ENSMUSG00000034664,Itga2b,-5.254039
ENSMUSG00000034520,Gjc1,-2.2186797
ENSMUSG00000040592,Cd79b,-6.8110313
ENSMUSG00000001029,Icam2,-5.262311
ENSMUSG00000020717,Pecam1,-1.0876937
ENSMUSG00000020718,Polg2,0.31639358
ENSMUSG00000040481,Bptf,-0.6725309
ENSMUSG00000040430,Pitpnc1,0.008378119
ENSMUSG00000050965,Prkca,-1.0839397
ENSMUSG00000020599,Rgs9,-1.6642566000000003
ENSMUSG00000020620,Abca8b,-2.222122
ENSMUSG00000041828,Abca8a,-1.3035266
ENSMUSG00000018800,Abca5,-3.6694584000000003
ENSMUSG00000063193,Cd300lb,-1.6226155
ENSMUSG00000034641,Cd300ld,-2.483883
ENSMUSG00000044811,Cd300c2,-2.2673224999999997
ENSMUSG00000047798,Cd300lf,-1.6293647
ENSMUSG00000034586,Hid1,-2.4931855
ENSMUSG00000020743,Mif4gd,-2.98153
ENSMUSG00000057948,Unc13d,-2.7266437999999997
ENSMUSG00000020776,Fbf1,-1.6561533
ENSMUSG00000025572,Tmc6,-1.2569795
ENSMUSG00000053113,Socs3,-6.592986
ENSMUSG00000017466,Timp2,-4.239573
ENSMUSG00000025375,Aatk,-3.4473052
ENSMUSG00000025137,Pcyt2,-1.0894711000000001
ENSMUSG00000039450,Dcxr,-3.9276120000000003
ENSMUSG00000025150,Cbr2,-4.273527
ENSMUSG00000025163,Cd7,-7.707219
ENSMUSG00000075702,Selenom,-3.5547742999999996
ENSMUSG00000034543,Morc2a,-1.5925566
ENSMUSG00000054986,Sec14l3,-3.3997364
ENSMUSG00000020412,Ascc2,-0.56152606
ENSMUSG00000020473,Aebp1,-5.1247287
ENSMUSG00000041046,Ramp3,-3.4529781
ENSMUSG00000018654,Ikzf1,-0.5887481
ENSMUSG00000049811,Fam161a,-3.0219392999999997
ENSMUSG00000056342,Usp34,-0.6117629
ENSMUSG00000000861,Bcl11a,-1.1412312
ENSMUSG00000020467,Efemp1,-2.7797697
ENSMUSG00000020297,Nsg2,-2.836385
ENSMUSG00000069919,Hba-a1,-8.719978
ENSMUSG00000002699,Lcp2,-3.4432468000000003
ENSMUSG00000004296,Il12b,-0.5333439
ENSMUSG00000057098,Ebf1,-0.47298640000000003
ENSMUSG00000020357,Flt4,-1.7291671999999998
ENSMUSG00000064057,Scgb3a1,-2.9296815
ENSMUSG00000020363,Gfpt2,-1.1008267
ENSMUSG00000036545,Adamts2,-0.43225205
ENSMUSG00000020385,Clk4,-1.3255796
ENSMUSG00000018395,Kif3a,-4.522310299999999
ENSMUSG00000018899,Irf1,1.8089788
ENSMUSG00000018339,Gpx3,-6.9040856
ENSMUSG00000000594,Gm2a,-4.681963
ENSMUSG00000020455,Trim11,-5.793566
ENSMUSG00000032691,Nlrp3,-1.6942785
ENSMUSG00000056598,Drc3,-1.7154691000000002
ENSMUSG00000042650,Alkbh5,-1.7597775000000002
ENSMUSG00000010142,Tnfrsf13b,-4.0501803999999995
ENSMUSG00000019102,Aldh3a1,-4.720468
ENSMUSG00000042436,Mfap4,-8.511218
ENSMUSG00000004837,Grap,-1.8835968999999997
ENSMUSG00000018217,Pmp22,-5.0936527
ENSMUSG00000020895,Tmem107,-4.895406200000001
ENSMUSG00000020893,Per1,-2.3068578
ENSMUSG00000018765,Fxr2,-2.0121843999999998
ENSMUSG00000040950,Mgl2,-3.4999432999999995
ENSMUSG00000040938,Slc16a11,-6.0703309999999995
ENSMUSG00000040829,Zmynd15,-2.1545330000000003
ENSMUSG00000018919,Tm4sf5,-3.6353678999999994
ENSMUSG00000020788,Atp2a3,-4.8486139999999995
ENSMUSG00000037926,Ssh2,0.9736258
ENSMUSG00000037857,Nufip2,0.5457883000000001
ENSMUSG00000017421,Zfp207,-0.44337893
ENSMUSG00000035385,Ccl2,-4.7921324
ENSMUSG00000035373,Ccl7,-4.759238
ENSMUSG00000035352,Ccl12,-3.8380897000000003
ENSMUSG00000009185,Ccl8,-5.2424445
ENSMUSG00000054404,Slfn5,-1.434002
ENSMUSG00000018930,Ccl4,-4.432705
ENSMUSG00000069792,Wfdc17,-2.320144
ENSMUSG00000051748,Wfdc21,-4.706321
ENSMUSG00000020532,Acaca,-3.0415254000000003
ENSMUSG00000000805,Car4,-3.7811577000000005
ENSMUSG00000000093,Tbx2,-3.060314
ENSMUSG00000020486,Sept4,-1.7859939999999999
ENSMUSG00000084796,Mir142hg,2.3366094
ENSMUSG00000087373,Gm15892,-0.5808555999999999
ENSMUSG00000072553,Gm525,-1.7944325
ENSMUSG00000069763,Tmem100,-1.6316117
ENSMUSG00000037573,Tob1,-3.4548347
ENSMUSG00000001506,Col1a1,-3.9185321
ENSMUSG00000038811,Gngt2,-2.5449276000000003
ENSMUSG00000057058,Skap1,1.0041741
ENSMUSG00000038485,Socs7,-1.8688668999999998
ENSMUSG00000003119,Cdk12,-0.98610234
ENSMUSG00000017493,Igfbp4,-6.052360500000001
ENSMUSG00000019302,Atp6v0a1,-0.6039738
ENSMUSG00000001240,Ramp2,-3.6254642
ENSMUSG00000034708,Grn,-5.612277
ENSMUSG00000020928,Higd1b,-3.8282933
ENSMUSG00000018411,Mapt,-0.4743321
ENSMUSG00000053580,Tanc2,-3.584021
ENSMUSG00000020681,Ace,-2.9233569999999998
ENSMUSG00000010021,Kif19a,-3.7958024
ENSMUSG00000034652,Cd300a,-0.38451993
ENSMUSG00000018858,Mrpl58,-3.4571980000000004
ENSMUSG00000020782,Llgl2,-1.1873603000000001
ENSMUSG00000090266,Mettl23,0.34489802
ENSMUSG00000017716,Birc5,-3.4787547999999995
ENSMUSG00000039963,Ccdc40,-2.16925
ENSMUSG00000039741,Bahcc1,-1.1090163999999998
ENSMUSG00000025793,Hgs,-2.523636
ENSMUSG00000025161,Slc16a3,-3.6877112000000003
ENSMUSG00000020627,Klhl29,0.54454654
ENSMUSG00000054459,Vsnl1,-1.0952396
ENSMUSG00000071398,2410004P03Rik,-5.240585299999999
ENSMUSG00000020641,Rsad2,-6.255968
ENSMUSG00000061477,Rps7,-6.143618599999999
ENSMUSG00000020651,Slc26a4,-3.1339064
ENSMUSG00000019256,Ahr,-1.6432041000000002
ENSMUSG00000020577,Tspan13,-3.3116498
ENSMUSG00000071342,Lsmem1,-0.37914547
ENSMUSG00000020954,Strn3,-0.27836427
ENSMUSG00000021027,Ralgapa1,0.58523375
ENSMUSG00000112343,Sfta3-ps,-0.30369577
ENSMUSG00000001496,Nkx2-1,-4.0968556000000005
ENSMUSG00000021054,Sgpp1,-2.8218734
ENSMUSG00000021055,Esr2,-2.5771642000000003
ENSMUSG00000002020,Ltbp2,-1.9194506000000002
ENSMUSG00000021003,Galc,-1.2630965
ENSMUSG00000021186,Fbln5,-3.4217364999999997
ENSMUSG00000021190,Lgmn,-4.753046
ENSMUSG00000079017,Ifi27l2a,-6.2532816
ENSMUSG00000041341,Atg2b,-1.4337028
ENSMUSG00000048251,Bcl11b,-1.5533115
ENSMUSG00000056458,Mok,-1.066761
ENSMUSG00000021279,Cdc42bpb,-5.077159
ENSMUSG00000021298,Gpr132,0.37310612
ENSMUSG00000095079,Igha,0.58551884
ENSMUSG00000076613,Ighg2b,0.65806985
ENSMUSG00000076614,Ighg1,1.2241399
ENSMUSG00000104213,Ighd,-3.0066478
ENSMUSG00000076617,Ighm,-2.3997636000000004
ENSMUSG00000042050,Wdr60,-3.2169676
ENSMUSG00000037486,Asxl2,-0.53531396
ENSMUSG00000071454,Dtnb,-0.4853661
ENSMUSG00000020649,Rrm2,-2.2273127999999995
ENSMUSG00000020674,Pxdn,-2.4618425
ENSMUSG00000002900,Lamb1,-2.983537
ENSMUSG00000020562,Efcab10,-3.6671197
ENSMUSG00000036231,Agr3,-3.214291
ENSMUSG00000046782,Ttc6,-0.8212603999999999
ENSMUSG00000020978,Klhdc2,-2.9676549999999997
ENSMUSG00000048118,Arid4a,-0.86516947
ENSMUSG00000044712,Slc38a6,-3.9502332
ENSMUSG00000021109,Hif1a,-1.4490294
ENSMUSG00000046768,Rhoj,-0.08679557
ENSMUSG00000063450,Syne2,-1.1563228
ENSMUSG00000021048,Mthfd1,-2.6338654
ENSMUSG00000021057,Akap5,-4.9793997
ENSMUSG00000021065,Fut8,0.27390495
ENSMUSG00000047454,Gphn,1.158949
ENSMUSG00000021125,Arg2,-0.6920713000000001
ENSMUSG00000066438,Plekhd1,-2.6366
ENSMUSG00000021136,Smoc1,-0.2464143
ENSMUSG00000057265,Bbof1,-1.7506157
ENSMUSG00000021250,Fos,-4.613455
ENSMUSG00000034266,Batf,-0.9477271
ENSMUSG00000021254,Gpatch2l,-1.5786878999999998
ENSMUSG00000021013,Ttc8,-3.0433571
ENSMUSG00000033731,3300002A11Rik,-0.47925037
ENSMUSG00000021198,Unc79,-1.9444191000000002
ENSMUSG00000041481,Serpina3g,-3.8191721
ENSMUSG00000041323,Ak7,0.33199
ENSMUSG00000021268,Meg3,0.35569414
ENSMUSG00000021281,Tnfaip2,-3.0378822999999997
ENSMUSG00000037679,Inf2,-1.7876136999999999
ENSMUSG00000021143,Pacs2,-1.3847136
ENSMUSG00000006356,Crip2,-5.665336
ENSMUSG00000006360,Crip1,-2.6252542
ENSMUSG00000021171,Esyt2,0.84562397
ENSMUSG00000041886,Macc1,-2.9402466
ENSMUSG00000046159,Chrm3,0.16830556
ENSMUSG00000095105,Edaradd,-1.5107926999999999
ENSMUSG00000039233,Tbce,-0.57498825
ENSMUSG00000022228,Zscan26,-1.4095991
ENSMUSG00000113216,Gm40841,-0.7796994
ENSMUSG00000085936,2610307P16Rik,0.035679284
ENSMUSG00000044734,Serpinb1a,-4.0278453999999995
ENSMUSG00000058672,Tubb2a,-5.9748735
ENSMUSG00000038267,Slc22a23,-3.6256589999999997
ENSMUSG00000021411,Pxdc1,-2.4092605
ENSMUSG00000039109,F13a1,-0.053583995
ENSMUSG00000038991,Txndc5,-2.9265939999999997
ENSMUSG00000021432,Slc35b3,-0.8059996
ENSMUSG00000021363,Mak,-2.7671412999999996
ENSMUSG00000113010,Gm34084,-2.43512
ENSMUSG00000021375,Kif13a,0.029749839
ENSMUSG00000097375,6720427I07Rik,-1.0775511
ENSMUSG00000037960,Card19,-3.4603919999999997
ENSMUSG00000025878,Uimc1,-0.6617797
ENSMUSG00000035711,Dok3,-2.7844486
ENSMUSG00000021495,Fam193b,-1.8927021000000002
ENSMUSG00000021508,Cxcl14,-4.7335124
ENSMUSG00000021557,Agtpbp1,-0.34063902
ENSMUSG00000074874,Ctla2b,0.019942379
ENSMUSG00000044258,Ctla2a,-5.7758822
ENSMUSG00000021466,Ptch1,-2.0554802
ENSMUSG00000021536,Adcy2,-0.5742510999999999
ENSMUSG00000060969,Irx1,-5.2450410000000005
ENSMUSG00000021585,Cast,-1.248642
ENSMUSG00000109228,Fam81b,-2.30413
ENSMUSG00000021614,Vcan,-3.649083
ENSMUSG00000048376,F2r,-4.317262
ENSMUSG00000052727,Map1b,-2.293592
ENSMUSG00000023132,Gzma,-5.871818
ENSMUSG00000042364,Snx18,-1.0040293
ENSMUSG00000042284,Itga1,-1.6097295
ENSMUSG00000094870,Zfp131,-0.39080405
ENSMUSG00000033781,Asb13,-1.6058785
ENSMUSG00000033715,Akr1c14,-4.417913400000001
ENSMUSG00000021193,Pitrm1,-1.7546424999999999
ENSMUSG00000019726,Lyst,0.47043404
ENSMUSG00000015671,Psma2,0.08193089
ENSMUSG00000021319,Sfrp4,-3.149528
ENSMUSG00000041112,Elmo1,0.65408874
ENSMUSG00000018102,Hist1h2bc,-5.420292400000001
ENSMUSG00000016756,Cmah,-0.62127113
ENSMUSG00000035910,Dcdc2a,-2.5764213
ENSMUSG00000049115,Agtr1a,-2.0236776
ENSMUSG00000042842,Serpinb6b,-3.4186932999999997
ENSMUSG00000045827,Serpinb9,-1.3598171000000001
ENSMUSG00000021413,Prpf4b,-2.337237
ENSMUSG00000021423,Ly86,-1.8167071
ENSMUSG00000039004,Bmp6,0.29011467
ENSMUSG00000021360,Gcnt2,-0.44190824
ENSMUSG00000021367,Edn1,-3.5888230000000005
ENSMUSG00000015396,Cd83,0.31212807
ENSMUSG00000037966,Ninj1,-4.0949135000000005
ENSMUSG00000021388,Aspn,-2.6702774
ENSMUSG00000021390,Ogn,-3.5529572999999997
ENSMUSG00000067586,S1pr3,-3.5626444999999998
ENSMUSG00000062248,Cks2,-2.8523257
ENSMUSG00000021457,Syk,0.20282239999999999
ENSMUSG00000021474,Sfxn1,-2.9696321
ENSMUSG00000021481,Zfp346,-1.4045361
ENSMUSG00000005320,Fgfr4,-1.6317716
ENSMUSG00000021488,Nsd1,0.361765
ENSMUSG00000021496,Pcbd2,-1.9335395
ENSMUSG00000035493,Tgfbi,-5.646963599999999
ENSMUSG00000050002,Idnk,-2.4426112
ENSMUSG00000021458,Aopep,1.0672898000000002
ENSMUSG00000021595,Nsun2,-2.1214564
ENSMUSG00000001504,Irx2,-5.053819
ENSMUSG00000021608,Lpcat1,-4.7186069999999996
ENSMUSG00000017756,Slc12a7,-0.76528215
ENSMUSG00000074794,Arrdc3,-2.0170639
