gene_id,gene_name,log(velocity_gamma)
ENSG00000023909,GCLM,-2.708012
ENSG00000137992,DBT,-0.5693862
ENSG00000134215,VAV3,-0.019021086
ENSG00000162777,DENND2D,-3.8543527
ENSG00000155366,RHOC,-4.850353
ENSG00000197323,TRIM33,-0.0022415589
ENSG00000052723,SIKE1,-1.1060117
ENSG00000134250,NOTCH2,-1.3494648
ENSG00000271601,LIX1L,-0.19541746
ENSG00000143384,MCL1,-5.41964
ENSG00000143457,GOLPH3L,-0.93849725
ENSG00000163131,CTSS,-7.212065700000001
ENSG00000143437,ARNT,-0.03075362
ENSG00000163191,S100A11,-4.8756794999999995
ENSG00000163221,S100A12,-7.656733999999999
ENSG00000143546,S100A8,-6.2351985
ENSG00000197956,S100A6,-6.373627
ENSG00000196154,S100A4,-5.047293700000001
ENSG00000198837,DENND4B,-0.8660636
ENSG00000116521,SCAMP3,-0.6364261999999999
ENSG00000116539,ASH1L,1.1402333999999998
ENSG00000163374,YY1AP1,-0.0049413736
ENSG00000132680,KHDC4,-0.3455674
ENSG00000116604,MEF2D,0.010281338000000001
ENSG00000117036,ETV3,-3.6492116
ENSG00000143297,FCRL5,-0.33357415
ENSG00000160856,FCRL3,-1.7565118999999998
ENSG00000132704,FCRL2,-0.2826155
ENSG00000163534,FCRL1,0.5594076
ENSG00000158710,TAGLN2,-4.9066806
ENSG00000132716,DCAF8,-0.25604942
ENSG00000162739,SLAMF6,-1.3598241000000002
ENSG00000066294,CD84,-4.0993104
ENSG00000117090,SLAMF1,-2.356112
ENSG00000158769,F11R,-4.151887
ENSG00000203747,FCGR3A,-5.3359747
ENSG00000198821,CD247,0.6084236
ENSG00000143162,CREG1,-0.035370412999999996
ENSG00000230124,ACBD6,0.7495901999999999
ENSG00000135828,RNASEL,-1.4174473
ENSG00000116701,NCF2,-4.0468693
ENSG00000116679,IVNS1ABP,-0.36884075
ENSG00000073756,PTGS2,-2.6484732999999996
ENSG00000213047,DENND1B,1.8067131999999997
ENSG00000116852,KIF21B,-0.6814897
ENSG00000143851,PTPN7,-3.2611377
ENSG00000159346,ADIPOR1,-1.0648111
ENSG00000143815,LBR,-0.077194884
ENSG00000242861,AL591895.1,-0.61554444
ENSG00000196187,TMEM63A,0.59049445
ENSG00000143751,SDE2,-0.052527823
ENSG00000143772,ITPKB,-0.83255744
ENSG00000143793,C1orf35,-1.267615
ENSG00000069248,NUP133,0.11495107
ENSG00000135749,PCNX2,1.8319341
ENSG00000231663,COA6-AS1,-1.9707806
ENSG00000086619,ERO1B,0.641297
ENSG00000117020,AKT3,1.1315108999999999
ENSG00000153187,HNRNPU,-4.506041000000001
ENSG00000185420,SMYD3,3.1589944
ENSG00000153207,AHCTF1,-1.1619979999999999
ENSG00000067606,PRKCZ,-0.8342837
ENSG00000157933,SKI,0.25886077
ENSG00000157916,RER1,-3.2041008
ENSG00000054523,KIF1B,2.179107
ENSG00000142657,PGD,-4.473806400000001
ENSG00000142655,PEX14,1.1099159
ENSG00000116691,MIIP,-2.0040299999999998
ENSG00000142634,EFHD2,-4.858417500000001
ENSG00000197312,DDI2,-0.77408075
ENSG00000065526,SPEN,-0.23492770000000002
ENSG00000055070,SZRD1,-0.48944455
ENSG00000184677,ZBTB40,-0.9083228999999999
ENSG00000157978,LDLRAP1,-6.402124400000001
ENSG00000142669,SH3BGRL3,-6.0612507
ENSG00000142765,SYTL1,-4.383287999999999
ENSG00000009780,FAM76A,-0.5778558000000001
ENSG00000180098,TRNAU1AP,-0.11844267
ENSG00000116497,S100PBP,0.32668483
ENSG00000146463,ZMYM4,1.3945318000000002
ENSG00000092847,AGO1,-0.28756288
ENSG00000126070,AGO3,0.13500892
ENSG00000117000,RLF,1.4103521
ENSG00000084073,ZMPSTE24,-0.9180925999999999
ENSG00000066136,NFYC,-0.16606703
ENSG00000171960,PPIH,-1.3148098999999998
ENSG00000065978,YBX1,-2.6805584
ENSG00000164008,C1orf50,-0.5376554
ENSG00000126091,ST3GAL3,1.2539022
ENSG00000187147,RNF220,-1.988187
ENSG00000198520,ARMH1,-1.9917063999999998
ENSG00000173846,PLK3,0.028848937
ENSG00000222009,BTBD19,-0.6631916
ENSG00000132780,NASP,0.25891683
ENSG00000173660,UQCRH,-3.6590437999999996
ENSG00000123091,RNF11,-0.56052476
ENSG00000134748,PRPF38A,-9.3165455
ENSG00000162378,ZYG11B,-0.45552716
ENSG00000162599,NFIA,-0.95926535
ENSG00000132849,PATJ,0.6286815
ENSG00000162607,USP1,-1.1465383
ENSG00000088035,ALG6,-0.19024423
ENSG00000116754,SRSF11,-1.0908303999999998
ENSG00000162623,TYW3,-5.2248487
ENSG00000117054,ACADM,0.3114837
ENSG00000137955,RABGGTB,-3.9410163999999996
ENSG00000137959,IFI44L,-2.3026817000000004
ENSG00000142875,PRKACB,-0.7217720000000001
ENSG00000117133,RPF1,-0.27312773
ENSG00000153936,HS2ST1,1.0233596999999999
ENSG00000122484,RPAP2,0.45589617
ENSG00000143033,MTF2,-1.4884822
ENSG00000122481,RWDD3,-7.332250999999999
ENSG00000117569,PTBP2,0.9091521999999999
ENSG00000162688,AGL,-0.2971699
ENSG00000079335,CDC14A,2.4987202
ENSG00000134255,CEPT1,-0.40461090000000005
ENSG00000064886,CHI3L2,-3.1937156000000004
ENSG00000143110,C1orf162,-4.9477267
ENSG00000198799,LRIG2,0.6258663000000001
ENSG00000163349,HIPK1,0.06376703
ENSG00000198162,MAN1A2,0.7802081
ENSG00000117281,CD160,-1.0905141
ENSG00000117360,PRPF3,0.069740795
ENSG00000143379,SETDB1,-0.48188972
ENSG00000143458,GABPB2,-0.50287306
ENSG00000143398,PIP5K1A,0.010858497
ENSG00000163220,S100A9,-7.510356
ENSG00000143554,SLC27A3,-1.0807773999999999
ENSG00000143515,ATP8B2,-2.4945459999999997
ENSG00000160789,LMNA,0.11332816
ENSG00000160783,PMF1,-0.6132791999999999
ENSG00000158481,CD1C,-3.2364106
ENSG00000163563,MNDA,-2.500197
ENSG00000181036,FCRL6,-1.2964653999999998
ENSG00000026751,SLAMF7,-1.5107861999999999
ENSG00000118217,ATF6,0.549613
ENSG00000143179,UCK2,0.14230593
ENSG00000143190,POU2F1,1.2274563
ENSG00000143155,TIPRL,-0.7927936
ENSG00000213064,SFT2D2,-1.4603585
ENSG00000117592,PRDX6,-4.996798
ENSG00000152061,RABGAP1L,2.8632562000000004
ENSG00000116191,RALGPS2,1.6575772000000002
ENSG00000116199,FAM20B,0.13619307
ENSG00000143337,TOR1AIP1,-0.1438648
ENSG00000143324,XPR1,0.38850945
ENSG00000135829,DHX9,-3.3396037000000005
ENSG00000116698,SMG7,1.0553659
ENSG00000150681,RGS18,1.5629448000000001
ENSG00000116741,RGS2,-4.572438200000001
ENSG00000134369,NAV1,-2.7200549
ENSG00000198700,IPO9,-0.38831374
ENSG00000077157,PPP1R12B,1.1227624
ENSG00000058668,ATP2B4,-0.53144634
ENSG00000263528,IKBKE,-0.7772170999999999
ENSG00000266094,RASSF5,-5.148157
ENSG00000082512,TRAF5,-3.8666410000000004
ENSG00000067533,RRP15,-0.811345
ENSG00000143353,LYPLAL1,-0.41752863
ENSG00000143756,FBXO28,0.69911176
ENSG00000163050,COQ8A,-0.9634446
ENSG00000116977,LGALS8,-1.3132435
ENSG00000179456,ZBTB18,-0.88501436
ENSG00000162852,CNST,0.65937126
ENSG00000107959,PITRM1,-0.62152666
ENSG00000067082,KLF6,-2.6775198
ENSG00000065675,PRKCQ,0.631274
ENSG00000151461,UPF2,-0.7034296
ENSG00000152465,NMT2,-1.2461978
ENSG00000148481,MINDY3,0.28191522
ENSG00000148484,RSU1,-1.6487321
ENSG00000107614,TRDMT1,-0.63826203
ENSG00000229124,VIM-AS1,-1.122978
ENSG00000107863,ARHGAP21,0.32749320000000004
ENSG00000107897,ACBD5,2.7815292
ENSG00000254635,WAC-AS1,-1.8565106
ENSG00000120616,EPC1,0.08129618
ENSG00000266412,NCOA4,-6.2673492
ENSG00000198964,SGMS1,1.9391924999999999
ENSG00000108091,CCDC6,0.71978337
ENSG00000151150,ANK3,3.1315012
ENSG00000182010,RTKN2,-0.5142884
ENSG00000180644,PRF1,-3.4510536
ENSG00000197746,PSAP,-2.6136868
ENSG00000148719,DNAJB12,-0.72476065
ENSG00000166507,NDST2,-1.6067153
ENSG00000223482,NUTM2A-AS1,0.24239793
ENSG00000138138,ATAD1,-0.31379405
ENSG00000119912,IDE,0.18210083
ENSG00000173145,NOC3L,-0.8724459999999999
ENSG00000107438,PDLIM1,-5.938486
ENSG00000119977,TCTN3,-0.2695341
ENSG00000077147,TM9SF3,-4.467480999999999
ENSG00000155229,MMS19,0.004544288400000001
ENSG00000014919,COX15,-1.2083538999999999
ENSG00000107554,DNMBP,-1.6594241000000003
ENSG00000213341,CHUK,-0.6187513000000001
ENSG00000198408,OGA,-0.69535863
ENSG00000107957,SH3PXD2A,-5.295111
ENSG00000099204,ABLIM1,-0.4524983
ENSG00000165650,PDZD8,2.5720568
ENSG00000107560,RAB11FIP2,-0.082405455
ENSG00000148908,RGS10,-2.9417732000000005
ENSG00000107669,ATE1,0.55945885
ENSG00000107672,NSMCE4A,-1.5869385
ENSG00000189319,FAM53B,-1.3142698
ENSG00000047056,WDR37,1.037769
ENSG00000173848,NET1,-1.1173841
ENSG00000108021,TASOR2,-0.11792882
ENSG00000134452,FBH1,-0.87838346
ENSG00000237943,PRKCQ-AS1,-2.0816588
ENSG00000165629,ATP5F1C,-3.7673303999999996
ENSG00000151465,CDC123,-1.3838747999999998
ENSG00000026025,VIM,-2.8161678
ENSG00000078403,MLLT10,0.43865538
ENSG00000095787,WAC,-2.2780110000000002
ENSG00000148516,ZEB1,1.5416577
ENSG00000107551,RASSF4,-4.7284646
ENSG00000012779,ALOX5,-1.544792
ENSG00000172661,WASHC2C,-0.5277213000000001
ENSG00000150347,ARID5B,-0.25210008
ENSG00000165476,REEP3,0.16073309
ENSG00000096717,SIRT1,0.24305359
ENSG00000122862,SRGN,-3.4248538
ENSG00000156502,SUPV3L1,-0.8411268
ENSG00000166224,SGPL1,-0.55626005
ENSG00000176986,SEC24C,-0.4621
ENSG00000196968,FUT11,-1.2515277
ENSG00000214655,ZSWIM8,-0.96202904
ENSG00000035403,VCL,0.59215003
ENSG00000156650,KAT6B,1.6415133000000002
ENSG00000156671,SAMD8,0.7876776
ENSG00000138134,STAMBPL1,-0.040611747999999996
ENSG00000180628,PCGF5,-0.52132756
ENSG00000107854,TNKS2,-6.721451299999999
ENSG00000095564,BTAF1,1.0725124
ENSG00000138190,EXOC6,1.104579
ENSG00000165879,FRAT1,-0.8864098
ENSG00000155256,ZFYVE27,-0.053100206
ENSG00000166135,HIF1AN,-2.0393046999999997
ENSG00000148840,PPRC1,-0.8913183000000001
ENSG00000107862,GBF1,1.281105
ENSG00000077150,NFKB2,-1.3414313
ENSG00000148843,PDCD11,0.09136201
ENSG00000107954,NEURL1,-0.98452526
ENSG00000148834,GSTO1,-7.209709599999999
ENSG00000148700,ADD3,-0.5941649
ENSG00000138166,DUSP5,-0.9723287
ENSG00000148737,TCF7L2,2.0455945
ENSG00000196865,NHLRC2,-0.07987095400000001
ENSG00000198873,GRK5,1.2563913999999998
ENSG00000132334,PTPRE,-0.78643066
ENSG00000175470,PPP2R2D,0.57962155
ENSG00000185187,SIGIRR,-6.054616
ENSG00000117984,CTSD,-3.9975786
ENSG00000129757,CDKN1C,-3.3971515
ENSG00000205531,NAP1L4,-4.2119055
ENSG00000110619,CARS,-0.74260765
ENSG00000166436,TRIM66,-0.2927769
ENSG00000133812,SBF2,-0.0073291967
ENSG00000110321,EIF4G2,-1.8252414000000001
ENSG00000148925,BTBD10,0.8323328000000001
ENSG00000186104,CYP2R1,0.3433552
ENSG00000085063,CD59,-2.2418218
ENSG00000110429,FBXO3,0.24076577
ENSG00000110442,COMMD9,0.27230087
ENSG00000135365,PHF21A,1.9915714
ENSG00000175220,ARHGAP1,-0.52287996
ENSG00000175216,CKAP5,0.33127080000000003
ENSG00000030066,NUP160,1.1323656000000002
ENSG00000167986,DDB1,-6.581447
ENSG00000134825,TMEM258,-3.1823256
ENSG00000068831,RASGRP2,-1.25525
ENSG00000110046,ATG2A,0.034680317999999995
ENSG00000162241,SLC25A45,-0.65067923
ENSG00000110066,KMT5B,0.78594935
ENSG00000137497,NUMA1,-1.1659962
ENSG00000137478,FCHSD2,-2.9726063999999996
ENSG00000165434,PGM2L1,-0.16852725
ENSG00000137486,ARRB1,-2.5907505
ENSG00000149262,INTS4,0.5519901999999999
ENSG00000110172,CHORDC1,-0.6499743
ENSG00000020922,MRE11,-0.8551353
ENSG00000184384,MAML2,2.8976095
ENSG00000137692,DCUN1D5,-1.0605756000000002
ENSG00000152404,CWF19L2,0.08547381
ENSG00000149308,NPAT,-0.26052952
ENSG00000048028,USP28,-0.038447794
ENSG00000160613,PCSK7,-2.0340838
ENSG00000186174,BCL9L,-2.834968
ENSG00000170322,NFRKB,-0.037317513999999996
ENSG00000196323,ZBTB44,0.6004203
ENSG00000185627,PSMD13,-5.7333300000000005
ENSG00000177666,PNPLA2,-2.6160579
ENSG00000183020,AP2A2,-0.41533643
ENSG00000130592,LSP1,-5.716674299999999
ENSG00000064201,TSPAN32,0.04180955
ENSG00000167325,RRM1,0.039047465
ENSG00000132274,TRIM22,-0.3207015
ENSG00000166333,ILK,2.4593465
ENSG00000205339,IPO7,-0.38505775
ENSG00000197601,FAR1,-3.6449017999999995
ENSG00000152270,PDE3B,-1.7820671000000001
ENSG00000170946,DNAJC24,-0.40750992
ENSG00000052841,TTC17,1.2391940000000001
ENSG00000157570,TSPAN18,-0.91698694
ENSG00000149091,DGKZ,-1.7171793000000002
ENSG00000110514,MADD,0.9920273999999999
ENSG00000156599,ZDHHC5,-0.50851667
ENSG00000186660,ZFP91,-0.6909666999999999
ENSG00000166900,STX3,-0.84403723
ENSG00000166927,MS4A7,-1.6431957
ENSG00000156738,MS4A1,-2.9768457
ENSG00000013725,CD6,-5.223408
ENSG00000133318,RTN3,-0.7490941
ENSG00000110011,DNAJC4,-3.7903123
ENSG00000168071,CCDC88B,-5.590549
ENSG00000213465,ARL2,-0.7686473
ENSG00000133884,DPF2,-1.834914
ENSG00000245532,NEAT1,-5.1383333
ENSG00000251562,MALAT1,-0.28793666
ENSG00000142186,SCYL1,-6.329551
ENSG00000173442,EHBP1L1,-1.8263506
ENSG00000172543,CTSW,-2.6381349999999997
ENSG00000173933,RBM4,-0.1389319
ENSG00000173715,C11orf80,0.84322876
ENSG00000173120,KDM2A,-0.25385177
ENSG00000173020,GRK2,0.48047690000000004
ENSG00000172932,ANKRD13D,-1.8302044999999998
ENSG00000172613,RAD9A,-2.190083
ENSG00000085733,CTTN,2.1819923
ENSG00000256448,AP000763.3,1.2836031
ENSG00000166439,RNF169,0.038779963
ENSG00000149273,RPS3,0.28294566
ENSG00000198382,UVRAG,0.0975644
ENSG00000074266,EED,-0.33824685
ENSG00000166575,TMEM135,1.1946131000000002
ENSG00000042429,MED17,-0.7102965
ENSG00000023445,BIRC3,-0.59661335
ENSG00000149311,ATM,0.7681978
ENSG00000109906,ZBTB16,0.5715625
ENSG00000168092,PAFAH1B2,-0.28408217
ENSG00000149577,SIDT2,-2.1943011
ENSG00000167257,RNF214,-0.56237316
ENSG00000110274,CEP164,-1.3746731
ENSG00000198851,CD3E,-10.877951
ENSG00000110344,UBE4A,-0.1713109
ENSG00000110395,CBL,1.2194848
ENSG00000154146,NRGN,-9.047956
ENSG00000110074,FOXRED1,-0.043491207000000004
ENSG00000151702,FLI1,-2.3112016
ENSG00000149418,ST14,-1.7770404
ENSG00000151502,VPS26B,-1.0409950000000001
ENSG00000151062,CACNA2D4,-1.8524001
ENSG00000111224,PARP11,-0.14260104
ENSG00000111641,NOP2,-1.1526292999999999
ENSG00000111642,CHD4,-0.12871042
ENSG00000111644,ACRBP,-2.0455563000000003
ENSG00000111653,ING4,-0.7922055
ENSG00000059804,SLC2A3,1.1675681
ENSG00000111796,KLRB1,-2.6051787999999996
ENSG00000213809,KLRK1,-4.388486400000001
ENSG00000205810,KLRC3,-1.1307843000000002
ENSG00000060138,YBX3,-0.7100741
ENSG00000087502,ERGIC2,-0.5292776
ENSG00000170456,DENND5B,-3.1185699000000002
ENSG00000139117,CPNE8,2.5469196
ENSG00000139116,KIF21A,-1.8085455000000001
ENSG00000129317,PUS7L,-0.9605551
ENSG00000184613,NELL2,1.3249416
ENSG00000139218,SCAF11,0.27503344
ENSG00000134294,SLC38A2,-2.2861700000000003
ENSG00000111424,VDR,-3.1462877000000002
ENSG00000129315,CCNT1,-0.024008805
ENSG00000167552,TUBA1A,-1.868512
ENSG00000139624,CERS5,-0.21223459
ENSG00000139629,GALNT6,-0.39836052
ENSG00000139631,CSAD,-5.824299
ENSG00000139626,ITGB7,-4.402610299999999
ENSG00000012822,CALCOCO1,-1.6662543
ENSG00000135426,TESPA1,-0.6256565
ENSG00000076108,BAZ2A,-0.80363953
ENSG00000196531,NACA,-4.1759900000000005
ENSG00000166888,STAT6,-0.6139425999999999
ENSG00000135677,GNS,-4.2353214999999995
ENSG00000111537,IFNG,-1.6856753
ENSG00000247131,AC025263.1,-2.4787521
ENSG00000133858,ZFC3H1,0.11491111
ENSG00000198707,CEP290,-1.8868525
ENSG00000139318,DUSP6,-4.378258
ENSG00000139323,POC1B,0.24401706
ENSG00000257242,LINC01619,3.1863742000000004
ENSG00000057704,TMCC3,0.20496051
ENSG00000184752,NDUFA12,1.0026291999999999
ENSG00000120798,NR2C1,-0.119940445
ENSG00000059758,CDK17,2.0039697
ENSG00000120860,WASHC3,-0.40537775
ENSG00000136044,APPL2,0.87235564
ENSG00000075856,SART3,-0.55536705
ENSG00000110876,SELPLG,-1.5991521
ENSG00000196510,ANAPC7,1.3145025
ENSG00000089234,BRAP,-0.73475647
ENSG00000111300,NAA25,0.15881252
ENSG00000173064,HECTD4,1.9520452000000001
ENSG00000089009,RPL6,-4.7645454
ENSG00000123064,DDX54,-1.1974571000000003
ENSG00000089060,SLC8B1,-0.49035648
ENSG00000123066,MED13L,3.2667568
ENSG00000111412,C12orf49,-1.6293348
ENSG00000089154,GCN1,-0.14787789
ENSG00000089094,KDM2B,0.99346703
ENSG00000130779,CLIP1,0.83734256
ENSG00000090975,PITPNM2,-1.0286722
ENSG00000073060,SCARB1,-0.1888941
ENSG00000120647,CCDC77,-0.117290765
ENSG00000111203,ITFG2,1.2753446000000002
ENSG00000139192,TAPBPL,-0.6501985
ENSG00000111640,GAPDH,-5.6858087
ENSG00000139182,CLSTN3,-1.2199049
ENSG00000284634,AC092821.3,-0.4899257000000001
ENSG00000150045,KLRF1,-1.3262391000000002
ENSG00000197992,CLEC9A,0.03064935
ENSG00000134539,KLRD1,-1.3833927
ENSG00000256039,LINC02446,1.1767291000000002
ENSG00000139083,ETV6,2.851293
ENSG00000165714,BORCS5,1.4067869
ENSG00000171681,ATF7IP,1.6711643
ENSG00000246705,H2AFJ,2.772311
ENSG00000023697,DERA,-0.18398693
ENSG00000121350,PYROXD1,-0.7343273
ENSG00000111711,GOLT1B,-0.23143357
ENSG00000139163,ETNK1,-0.16463508
ENSG00000087448,KLHL42,-0.9182392
ENSG00000198001,IRAK4,-0.97779703
ENSG00000177119,ANO6,-0.2549098
ENSG00000189079,ARID2,1.0115346
ENSG00000179715,PCED1B,1.4555621
ENSG00000167553,TUBA1C,3.4949121
ENSG00000066084,DIP2B,1.4770944
ENSG00000135503,ACVR1B,-0.8938373
ENSG00000123395,ATG101,-7.067943
ENSG00000123349,PFDN5,-3.6660576000000002
ENSG00000065357,DGKA,-1.071113
ENSG00000092841,MYL6,-0.48354214
ENSG00000135655,USP15,1.2938003999999999
ENSG00000061987,MON2,1.0072031
ENSG00000184575,XPOT,-0.6862699000000001
ENSG00000183735,TBK1,-0.24499552
ENSG00000090376,IRAK3,-5.3549137
ENSG00000127311,HELB,-0.5600298
ENSG00000111530,CAND1,-0.71826005
ENSG00000255733,IFNG-AS1,1.4110249
ENSG00000090382,LYZ,-5.852235
ENSG00000127328,RAB3IP,-0.4179611
ENSG00000127720,METTL25,-2.4938464
ENSG00000205056,LINC02397,-1.1993954
ENSG00000198015,MRPL42,-1.1817445
ENSG00000111142,METAP2,-0.54377884
ENSG00000111145,ELK3,0.3499348
ENSG00000139350,NEDD1,-0.16395922
ENSG00000111727,HCFC2,0.1426326
ENSG00000171310,CHST11,2.0643373
ENSG00000111785,RIC8B,0.47091383
ENSG00000151135,TMEM263,0.28904882
ENSG00000186815,TPCN1,0.738496
ENSG00000088986,DYNLL1,-4.021533
ENSG00000110917,MLEC,-3.8416879999999995
ENSG00000089041,P2RX7,-1.7712580000000002
ENSG00000170633,RNF34,1.6812111
ENSG00000139718,SETD1B,0.42213556
ENSG00000185344,ATP6V0A2,-0.18787146
ENSG00000177169,ULK1,0.033551596
ENSG00000183495,EP400,0.20581828
ENSG00000112787,FBRSL1,0.24190359
ENSG00000198393,ZNF26,-1.2988513000000002
ENSG00000132950,ZMYM5,-0.7520009
ENSG00000132953,XPO4,1.0836476000000002
ENSG00000102699,PARP4,1.3031977
ENSG00000152484,USP12,0.9607446
ENSG00000120694,HSPH1,-3.420235
ENSG00000139597,N4BP2L1,1.156521
ENSG00000133104,SPART,-0.65758544
ENSG00000102710,SUPT20H,-0.11247924
ENSG00000102763,VWA8,2.0263886
ENSG00000102804,TSC22D1,-0.96843195
ENSG00000123200,ZC3H13,-0.8234273999999999
ENSG00000102445,RUBCNL,0.37257028
ENSG00000136161,RCBTB2,-5.445449
ENSG00000136100,VPS36,-2.2179446
ENSG00000184226,PCDH9,1.0094447
ENSG00000118922,KLF12,2.4505372000000003
ENSG00000136111,TBC1D4,-0.8763424999999999
ENSG00000139746,RBM26,0.5736446999999999
ENSG00000102595,UGGT2,1.0847981000000002
ENSG00000088387,DOCK9,-0.41766727
ENSG00000169508,GPR183,-1.581494
ENSG00000185950,IRS2,-0.48383895
ENSG00000126216,TUBGCP3,0.008797931
ENSG00000150401,DCUN1D2,-1.1835343999999999
ENSG00000183087,GAS6,-3.3617551
ENSG00000121741,ZMYM2,1.8011861
ENSG00000182957,SPATA13,-1.1859463
ENSG00000132952,USPL1,0.6041201999999999
ENSG00000187676,B3GLCT,-0.62259066
ENSG00000073910,FRY,0.2465005
ENSG00000139618,BRCA2,-1.7823825
ENSG00000083642,PDS5B,1.1061618
ENSG00000172766,NAA16,-3.1146069
ENSG00000102760,RGCC,-1.1973063999999998
ENSG00000139668,WDFY2,0.21581043
ENSG00000286330,AL353660.1,1.063052
ENSG00000134882,UBAC2,1.1597114
ENSG00000134900,TPP2,0.07154927
ENSG00000139826,ABHD13,-5.649046
ENSG00000102524,TNFSF13B,-3.7379432
ENSG00000102606,ARHGEF7,0.9398178
ENSG00000136319,TTC5,-0.90050626
ENSG00000129566,TEP1,-0.50955385
ENSG00000165819,METTL3,-0.8647207
ENSG00000092036,HAUS4,-6.373556
ENSG00000100450,GZMH,-4.049690200000001
ENSG00000100453,GZMB,-4.5630846
ENSG00000196792,STRN3,0.6989422
ENSG00000129493,HEATR5A,1.0132092
ENSG00000100906,NFKBIA,-2.8428261000000004
ENSG00000100934,SEC23A,0.547996
ENSG00000182400,TRAPPC6B,-0.41548958
ENSG00000165355,FBXO33,0.38462773
ENSG00000179454,KLHL28,0.008486753
ENSG00000129534,MIS18BP1,-4.6266527
ENSG00000100483,VCPKMT,-0.34549070000000004
ENSG00000012983,MAP4K5,0.41618106
ENSG00000100523,DDHD1,0.39403790000000005
ENSG00000070367,EXOC5,-0.78873605
ENSG00000185650,ZFP36L1,-4.56037
ENSG00000072110,ACTN1,-2.4156356
ENSG00000139990,DCAF5,0.46285495
ENSG00000165861,ZFYVE1,-0.0026219259999999997
ENSG00000119684,MLH3,0.8528609
ENSG00000119640,ACYP1,-1.3481083
ENSG00000119638,NEK9,-0.14240831
ENSG00000133935,ERG28,-1.3764744
ENSG00000100580,TMED8,-1.1358997
ENSG00000053254,FOXN3,2.9627595
ENSG00000100784,RPS6KA5,0.29571337
ENSG00000089737,DDX24,0.54912907
ENSG00000100721,TCL1A,-3.9957504
ENSG00000127152,BCL11B,0.016607376
ENSG00000170779,CDCA4,-1.3304004999999999
ENSG00000185024,BRF1,-0.559467
ENSG00000211893,IGHG2,-4.23301
ENSG00000211895,IGHA1,0.8616919
ENSG00000211896,IGHG1,-2.8079294999999997
ENSG00000211897,IGHG3,1.7737141
ENSG00000211898,IGHD,-1.9507159
ENSG00000211899,IGHM,-2.0083292
ENSG00000211829,TRDC,-3.5990763
ENSG00000277734,TRAC,-3.8110945
ENSG00000197324,LRP10,-1.0072232
ENSG00000092098,RNF31,-0.79180574
ENSG00000151413,NUBPL,1.6545095
ENSG00000100890,PRORP,0.6316866
ENSG00000150527,MIA2,0.9007751
ENSG00000197776,KLHDC1,0.31132534
ENSG00000165516,KLHDC2,-0.24795878
ENSG00000168229,PTGDR,-1.464238
ENSG00000131981,LGALS3,-6.596447500000001
ENSG00000100592,DAAM1,0.027899232000000003
ENSG00000100614,PPM1A,-0.39453283
ENSG00000020426,MNAT1,0.53290904
ENSG00000054654,SYNE2,-3.8747404000000003
ENSG00000126804,ZBTB1,0.14832841
ENSG00000257365,FNTB,-1.6733351000000003
ENSG00000100647,SUSD6,0.8222356
ENSG00000119725,ZNF410,-0.0036688314
ENSG00000119596,YLPM1,1.0971656
ENSG00000119689,DLST,0.336662
